id;name;rank;eng_name;code
1;jaggedly;15450;seemingly instead silently;via tatami
2;backbone beyond aside;5806;gadzooks surprisingly invitation;strange clear-cut er
3;lest shakily sedately;8936;youthfully;abase
4;assay;1071;that loudly bumpy;quick sealift radiator
5;jewelry lighthearted;29939;these that yippee;flare but out
6;aromatic um yet;5895;gadzooks;blah jazz
7;rapidly char;31433;declare moral aching;essential doubtfully pony
8;which;13770;so upstage defer;until
9;codling;18000;questioningly forewarn that;who heartfelt
10;gah game halloo;6130;till;generously
